DistrictId,WardId,StreetId,Size,Rooms,Toilets,Type,FurnishingSell,Urgent,Price
7,76,608,53.0,1,1,Chung cư,Nội thất cao cấp,0,3800000000.0
12,153,1349,50.0,1,1,Chung cư,Hoàn thiện cơ bản,0,1750000000.0
8,98,880,72.32,2,2,Chung cư,,0,2500000000.0
8,98,880,72.25,2,2,Chung cư,,0,2240000000.0
8,98,880,73.0,2,2,Chung cư,,0,2270000000.0
8,98,880,73.0,2,2,Chung cư,,0,2150000000.0
9,102,902,39.0,1,1,Chung cư,Hoàn thiện cơ bản,0,1550000000.0
7,74,588,50.0,1,1,Chung cư,,0,1940000000.0
13,155,1381,56.88,1,1,Chung cư,Hoàn thiện cơ bản,0,5500000000.0
9,102,902,60.0,2,2,Chung cư,Nội thất cao cấp,0,2150000000.0
9,102,902,59.0,2,0,Chung cư,,1,2242000000.0
9,102,902,81.5,3,0,Chung cư,Nội thất cao cấp,0,3500000000.0
18,225,2122,100.0,3,0,Chung cư,,0,3150000000.0
2,16,180,60.0,2,0,Chung cư,,0,2150000000.0
20,265,2563,40.0,1,1,Chung cư,Hoàn thiện cơ bản,0,750000000.0
2,16,174,73.0,2,2,Chung cư,,0,2100000000.0
9,102,902,60.0,2,0,Chung cư,Nội thất đầy đủ,1,2300000000.0
9,102,902,30.0,1,0,Chung cư,Nội thất đầy đủ,1,1460000000.0
9,102,902,70.0,2,0,Chung cư,Hoàn thiện cơ bản,1,2700000000.0
19,240,2295,53.0,2,0,Chung cư,,0,2500000000.0
6,68,541,51.0,1,1,Chung cư,Hoàn thiện cơ bản,0,2350000000.0
2,16,174,60.0,2,2,Chung cư,,0,1600000000.0
8,89,832,66.0,2,2,Chung cư,Bàn giao thô,0,1900000000.0
9,102,902,46.0,1,1,Chung cư,Hoàn thiện cơ bản,0,2280000000.0
4,32,326,81.0,2,2,Chung cư,Nội thất đầy đủ,0,5550000000.0
2,16,174,73.0,2,0,Chung cư,,0,2100000000.0
13,155,1381,54.0,1,1,Chung cư,Nội thất cao cấp,0,5490000000.0
24,310,2748,46.0,1,1,Chung cư,Hoàn thiện cơ bản,0,2300000000.0
24,310,2748,46.0,1,1,Chung cư,Hoàn thiện cơ bản,0,2200000000.0
18,227,2140,69.0,2,2,Chung cư,Nội thất cao cấp,0,4080000000.0
9,102,902,60.0,2,0,Chung cư,Hoàn thiện cơ bản,1,2400000000.0
12,153,1349,59.0,2,1,Chung cư,Hoàn thiện cơ bản,0,2049999999.9999998
9,102,902,30.0,1,0,Chung cư,Nội thất cao cấp,0,1400000000.0
9,102,902,70.0,2,0,Chung cư,Nội thất cao cấp,1,2800000000.0
7,82,732,44.0,1,1,Chung cư,,0,3300000000.0
9,102,902,60.0,2,0,Chung cư,Nội thất đầy đủ,0,2730000000.0
9,102,902,59.0,2,0,Chung cư,,1,2380000000.0
17,215,2046,61.0,3,2,Chung cư,Nội thất đầy đủ,0,3600000000.0
20,260,2539,66.0,2,0,Chung cư,Hoàn thiện cơ bản,0,2380000000.0
20,251,2484,114.0,3,2,Chung cư,Nội thất đầy đủ,0,3900000000.0
7,74,583,85.0,2,2,Chung cư,Hoàn thiện cơ bản,1,1880000000.0
12,153,1349,58.0,2,1,Chung cư,Nội thất đầy đủ,0,2550000000.0
2,13,144,71.0,2,2,Chung cư,,0,3700000000.0
15,190,1839,36.0,1,0,Chung cư,,0,4200000000.0
9,103,911,73.4,2,0,Chung cư,Hoàn thiện cơ bản,0,2990000000.0
20,251,2484,85.0,2,2,Chung cư,Nội thất cao cấp,0,3100000000.0
14,166,1546,75.0,2,2,Chung cư,Hoàn thiện cơ bản,0,3500000000.0
9,102,902,47.2,1,1,Chung cư,Nội thất cao cấp,0,1950000000.0
14,166,1526,68.0,2,2,Chung cư,Nội thất đầy đủ,0,3660000000.0
9,103,911,99.0,3,3,Chung cư,Hoàn thiện cơ bản,0,4300000000.0
9,102,902,59.2,2,2,Chung cư,Hoàn thiện cơ bản,1,2600000000.0
12,151,1314,70.0,3,2,Chung cư,,0,1700000000.0
7,79,686,74.0,2,2,Chung cư,Nội thất đầy đủ,0,2800000000.0
9,102,902,45.0,1,1,Chung cư,Hoàn thiện cơ bản,0,1850000000.0
9,109,987,74.5,2,1,Chung cư,Nội thất đầy đủ,0,2250000000.0
20,251,2484,70.0,2,2,Chung cư,Hoàn thiện cơ bản,0,2650000000.0
19,246,2404,64.0,2,1,Chung cư,Nội thất cao cấp,0,1400000000.0
9,102,902,50.0,1,1,Chung cư,Hoàn thiện cơ bản,0,2000000000.0
8,89,832,53.0,2,1,Chung cư,Nội thất đầy đủ,0,1750000000.0
9,102,902,79.0,2,2,Chung cư,Nội thất cao cấp,0,4350000000.0
9,102,902,79.0,2,2,Chung cư,Nội thất cao cấp,0,4350000000.0
9,102,902,60.0,2,2,Chung cư,Hoàn thiện cơ bản,0,4000000000.0
7,82,732,70.0,2,2,Chung cư,,0,4200000000.0
12,151,1314,65.0,2,2,Chung cư,,1,1850000000.0
10,118,1054,76.0,3,2,Chung cư,,0,1850000000.0
12,151,1314,54.0,2,2,Chung cư,,0,1680000000.0
7,78,666,45.0,1,1,Chung cư,Nội thất đầy đủ,0,1600000000.0
15,178,1770,62.5,2,1,Chung cư,Nội thất đầy đủ,1,3200000000.0
20,251,2484,70.0,2,2,Chung cư,,0,2700000000.0
4,32,326,117.0,3,2,Chung cư,,0,7500000000.0
8,86,759,74.0,2,2,Chung cư,,0,2800000000.0
8,86,759,79.0,2,2,Chung cư,,0,3350000000.0
7,74,589,46.0,1,1,Chung cư,,0,1750000000.0
20,260,2536,55.0,2,2,Chung cư,,0,1550000000.0
24,312,2756,50.0,2,0,Chung cư,,0,1600000000.0
20,260,2536,50.0,2,2,Chung cư,Hoàn thiện cơ bản,0,1450000000.0
14,166,1526,68.0,2,2,Chung cư,,0,3660000000.0
7,74,586,65.0,2,2,Chung cư,Nội thất cao cấp,0,2800000000.0
19,245,2373,96.0,2,2,Chung cư,Nội thất cao cấp,0,6300000000.0
12,145,1255,42.0,2,1,Chung cư,Nội thất đầy đủ,0,1300000000.0
12,153,1349,50.0,1,1,Chung cư,,0,1900000000.0
20,252,2486,55.0,2,2,Chung cư,Hoàn thiện cơ bản,0,950000000.0
8,87,802,70.0,2,2,Chung cư,,0,3600000000.0
8,89,827,46.0,1,1,Chung cư,Hoàn thiện cơ bản,0,1880000000.0
24,312,2756,71.0,2,2,Chung cư,Nội thất cao cấp,0,4300000000.0
9,102,902,30.0,1,0,Chung cư,Hoàn thiện cơ bản,0,1650000000.0
20,260,2539,65.0,2,2,Chung cư,Nội thất đầy đủ,1,2400000000.0
9,102,902,60.0,2,1,Chung cư,Nội thất cao cấp,0,2650000000.0
12,153,1349,66.0,2,2,Chung cư,Hoàn thiện cơ bản,1,2780000000.0
12,153,1349,80.0,3,2,Chung cư,Hoàn thiện cơ bản,0,3000000000.0
19,240,2295,84.0,3,2,Chung cư,,0,4099999999.9999995
24,312,2756,61.0,2,1,Chung cư,Hoàn thiện cơ bản,0,1800000000.0
8,89,832,52.0,2,1,Chung cư,,0,1670000000.0
12,153,1349,50.0,1,1,Chung cư,Hoàn thiện cơ bản,0,1740000000.0
14,166,1546,56.0,2,1,Chung cư,,0,2750000000.0
19,240,2295,65.0,2,2,Chung cư,,0,2750000000.0
9,102,902,30.0,1,0,Chung cư,,1,1550000000.0
9,102,902,59.0,2,0,Chung cư,,1,2260000000.0
19,245,2373,68.01,2,2,Chung cư,,1,4200000000.0
24,312,2756,71.0,2,2,Chung cư,Nội thất đầy đủ,0,4400000000.0
9,102,902,54.5,2,1,Chung cư,Hoàn thiện cơ bản,0,2500000000.0
19,247,2409,70.0,2,2,Chung cư,Nội thất đầy đủ,1,3100000000.0
19,245,2373,67.0,2,2,Chung cư,Nội thất đầy đủ,0,3250000000.0
18,237,2237,73.0,2,2,Chung cư,Hoàn thiện cơ bản,1,3450000000.0
19,241,2313,72.0,2,2,Chung cư,Nội thất đầy đủ,0,2450000000.0
19,241,2313,72.0,2,0,Chung cư,,0,2400000000.0
14,174,1726,39.0,2,0,Chung cư,,1,657000000.0
9,102,902,46.5,1,1,Chung cư,Hoàn thiện cơ bản,0,2400000000.0
15,182,1795,62.0,2,1,Chung cư,Nội thất đầy đủ,0,2250000000.0
19,245,2373,53.0,1,1,Chung cư,Hoàn thiện cơ bản,0,2900000000.0
19,245,2373,68.0,2,2,Chung cư,Hoàn thiện cơ bản,0,3000000000.0
2,18,221,40.0,1,1,Chung cư,,0,2650000000.0
7,74,583,61.5,2,2,Chung cư,,0,2250000000.0
8,87,802,80.0,2,2,Chung cư,,1,2770000000.0
24,312,2756,100.0,3,2,Chung cư,Nội thất đầy đủ,0,3450000000.0
19,242,2325,60.0,2,1,Chung cư,,0,1690000000.0
19,241,2310,72.0,2,2,Chung cư,Hoàn thiện cơ bản,0,3500000000.0
14,175,1738,52.0,2,1,Chung cư,,0,1440000000.0
2,16,174,85.0,3,2,Chung cư,Nội thất đầy đủ,0,2560000000.0
19,240,2295,65.0,2,2,Chung cư,,1,2700000000.0
19,245,2373,85.0,2,2,Chung cư,,0,4800000000.0
2,13,144,50.0,1,1,Chung cư,Hoàn thiện cơ bản,0,6200000000.0
19,245,2373,97.1,2,2,Chung cư,Hoàn thiện cơ bản,0,5550000000.0
5,48,402,87.0,2,2,Chung cư,,0,6400000000.0
15,190,1839,84.0,2,2,Chung cư,Nội thất cao cấp,1,7400000000.0
