ward,district,Size,Rooms,Toilets,Floors,Type,FurnishingSell,Characteristics,Urgent,Price
Phường Đa Kao,Quận 1,31.0,3,3,3,"Nhà ngõ, hẻm",,"Nhà nở hậu,Hẻm xe hơi",0,3920000000.0
Xã Tân Kiên,Huyện Bình Chánh,95.03,3,2,1,"Nhà ngõ, hẻm",Bàn giao thô,,0,1490000000.0
Phường 11,Quận 6,114.99,1,1,1,"Nhà ngõ, hẻm",Bàn giao thô,,1,7600000000.0
Phường 11,Quận 3,52.0,6,0,0,Nhà phố liền kề,,,0,4990000000.0
Phường Thới An,Quận 12,10.0,1,1,1,"Nhà ngõ, hẻm",Bàn giao thô,,0,445000000.0
Phường Tân Định,Quận 1,80.0,5,0,0,Nhà phố liền kề,,,0,8710000000.0
Phường 1,Quận 10,44.6,3,2,1,Nhà phố liền kề,,,0,6700000000.0
Phường 2,Quận 8,48.0,4,4,4,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,5250000000.0
Phường Tân Hưng,Quận 7,63.0,4,4,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,5780000000.0
Thị trấn Tân Túc,Huyện Bình Chánh,108.0,3,3,2,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,1310000000.0
Đường Quang Trung,,72.5,3,2,1,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,6000000000.0
Phường Đa Kao,Quận 1,54.0,5,5,5,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,12800000000.0
Phường 10,Quận Gò Vấp,72.5,3,2,1,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,6000000000.0
Phường Hiệp Bình Phước (Quận Thủ Đức cũ),Thành phố Thủ Đức,40.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4300000000.0
Phường 3,Quận 8,86.0,6,5,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,8900000000.0
Xã Phú Xuân,Huyện Nhà Bè,80.02,3,2,2,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,1930000000.0
Phường Thạnh Lộc,Quận 12,24.0,2,0,0,Nhà phố liền kề,,,0,1150000000.0
Phường 12,Quận Gò Vấp,38.0,2,2,2,"Nhà ngõ, hẻm",,,0,3580000000.0
Phường 6,Quận 10,40.0,4,3,3,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,5300000000.0
Phường 8,Quận Tân Bình,56.0,1,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,4090000000.0
Phường 13,Quận Phú Nhuận,20.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,2230000000.0
Phường 9,Quận 3,48.0,2,2,2,"Nhà ngõ, hẻm",Nội thất cao cấp,,1,3550000000.0
Phường 4,Quận 10,28.0,4,3,4,Nhà phố liền kề,Nội thất đầy đủ,,0,3950000000.0
Phường Hiệp Thành,Quận 12,12.71,1,1,0,"Nhà ngõ, hẻm",Bàn giao thô,,0,590000000.0
Phường 17,Quận Gò Vấp,83.0,1,1,1,"Nhà ngõ, hẻm",,,0,4990000000.0
Phường 8,Quận 8,100.0,3,3,1,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,1450000000.0
Phường 6,Quận Gò Vấp,65.0,4,6,4,"Nhà ngõ, hẻm",,,0,7900000000.0
Phường 12,Quận Gò Vấp,60.0,3,2,3,"Nhà mặt phố, mặt tiền",,,0,5950000000.0
Phường Tân Chánh Hiệp,Quận 12,64.0,2,2,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,3850000000.0
Phường 9,Quận Gò Vấp,40.0,2,0,2,"Nhà ngõ, hẻm",,,0,3290000000.0
Phường Hòa Thạnh,Quận Tân Phú,30.0,4,3,3,"Nhà ngõ, hẻm",,,1,3100000000.0
Phường 5,Quận Phú Nhuận,56.0,4,0,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4590000000.0
Phường Bình Trị Đông,Quận Bình Tân,38.0,4,0,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,3950000000.0
Phường Võ Thị Sáu,Quận 3,35.0,4,5,0,"Nhà ngõ, hẻm",,,0,3580000000.0
Phường Bình Hưng Hòa,Quận Bình Tân,80.0,4,4,0,"Nhà ngõ, hẻm",Bàn giao thô,,0,5500000000.0
Phường Võ Thị Sáu,Quận 3,84.2,2,2,1,"Nhà ngõ, hẻm",Bàn giao thô,,1,14000000000.0
Phường 2,Quận 10,20.0,2,3,0,"Nhà ngõ, hẻm",,,1,3150000000.0
Phường Thảo Điền (Quận 2 cũ),Thành phố Thủ Đức,72.0,6,6,4,Nhà phố liền kề,Nội thất đầy đủ,,1,3250000000.0
Phường 13,Quận 10,14.3,1,2,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,1900000000.0
Phường Cô Giang,Quận 1,25.1,2,3,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4650000000.0
Phường Phú Thuận,Quận 7,105.0,3,0,2,"Nhà ngõ, hẻm",,,0,5100000000.0
Phường Bình Trị Đông,Quận Bình Tân,64.0,3,0,2,"Nhà ngõ, hẻm",,,0,4700000000.0
Phường 3,Quận Gò Vấp,40.0,3,0,0,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,3880000000.0
Phường 17,Quận Gò Vấp,42.0,3,0,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,3450000000.0
Phường 16,Quận Gò Vấp,70.0,4,4,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,5980000000.0
Phường Bình Hưng Hoà A,Quận Bình Tân,48.0,4,0,0,"Nhà ngõ, hẻm",,,0,5700000000.0
Phường 11,Quận 6,30.0,1,1,0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,720000000.0
Phường 14,Quận Gò Vấp,31.0,2,2,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,3200000000.0
Phường An Lạc,Quận Bình Tân,70.0,3,3,3,"Nhà ngõ, hẻm",,,0,5500000000.0
Phường Tân Thới Nhất,Quận 12,71.99,3,3,3,"Nhà ngõ, hẻm",,,0,5999000000.0
Phường Bình Trị Đông A,Quận Bình Tân,40.0,2,0,0,"Nhà ngõ, hẻm",,,0,3870000000.0
Xã Tân Hiệp,Huyện Hóc Môn,22.0,2,0,0,"Nhà ngõ, hẻm",,,0,480000000.0
Phường 12,Quận Gò Vấp,38.0,2,2,2,"Nhà ngõ, hẻm",Nội thất cao cấp,Hẻm xe hơi,0,4380000000.0
Xã Thới Tam Thôn,Huyện Hóc Môn,140.02,3,0,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4300000000.0
Phường 10,Quận Gò Vấp,75.0,4,3,2,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,5000000000.0
Phường 3,Quận Gò Vấp,28.5,2,2,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,3700000000.0
Phường Bình Hưng Hoà B,Quận Bình Tân,21.0,2,0,0,"Nhà ngõ, hẻm",,,0,1790000000.0
Phường Bình Hưng Hoà A,Quận Bình Tân,32.0,2,0,0,"Nhà ngõ, hẻm",,,0,3520000000.0
Phường 8,Quận 11,10.0,2,2,0,"Nhà ngõ, hẻm",,,0,1190000000.0
Phường Cầu Ông Lãnh,Quận 1,20.0,4,5,0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,4250000000.0
Phường Bình Hưng Hòa,Quận Bình Tân,46.0,2,0,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,3900000000.0
Phường Tân Thới Hiệp,Quận 12,60.0,4,0,0,"Nhà ngõ, hẻm",Nội thất cao cấp,"Hẻm xe hơi,Nhà nở hậu",0,5190000000.0
Xã Xuân Thới Sơn,Huyện Hóc Môn,44.03,2,0,2,"Nhà ngõ, hẻm",,,1,350000000.0
Phường 4,Quận Tân Bình,88.54,10,0,5,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,11800000000.0
Phường 9,Quận Phú Nhuận,53.3,5,0,0,"Nhà mặt phố, mặt tiền",,,0,13000000000.0
Phường 16,Quận Gò Vấp,75.0,4,4,3,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,12800000000.0
Phường 11,Quận Gò Vấp,28.0,3,2,0,"Nhà ngõ, hẻm",,,0,3150000000.0
Phường Bình Hưng Hoà B,Quận Bình Tân,52.0,4,0,0,"Nhà ngõ, hẻm",,,0,4850000000.0
Phường 12,Quận Gò Vấp,33.0,3,3,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4200000000.0
Phường Tân Phú,Quận 7,102.61,2,0,0,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,5900000000.0
Phường 3,Quận Bình Thạnh,74.01,5,5,5,Nhà phố liền kề,Nội thất đầy đủ,,0,2850000000.0
Phường 8,Quận Gò Vấp,52.8,4,3,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,3900000000.0
Phường Bình Trị Đông,Quận Bình Tân,68.0,5,0,5,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,6900000000.0
Phường 10,Quận 4,32.1,2,3,4,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,4350000000.0
Phường 14,Quận Tân Bình,72.0,4,0,0,"Nhà ngõ, hẻm",,,1,4430000000.0
Phường Cô Giang,Quận 1,65.8,5,0,0,"Nhà ngõ, hẻm",,,0,4650000000.0
Phường Bình Hưng Hoà B,Quận Bình Tân,48.0,4,0,0,"Nhà ngõ, hẻm",,,0,4600000000.0
Phường Thạnh Lộc,Quận 12,28.0,3,3,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,1300000000.0
Xã Phú Xuân,Huyện Nhà Bè,80.02,3,2,2,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,0,1930000000.0
Phường 16,Quận Gò Vấp,93.0,10,6,5,"Nhà ngõ, hẻm",,,0,8380000000.000001
Phường 12,Quận Gò Vấp,70.0,5,6,3,"Nhà mặt phố, mặt tiền",,,0,10000000000.0
Phường Trung Mỹ Tây,Quận 12,50.0,2,2,2,Nhà phố liền kề,Nội thất đầy đủ,,0,3650000000.0
Phường 24,Quận Bình Thạnh,22.4,2,2,2,Nhà phố liền kề,Nội thất cao cấp,,0,3290000000.0
Xã Thới Tam Thôn,Huyện Hóc Môn,100.0,3,0,0,"Nhà mặt phố, mặt tiền",,,0,2950000000.0
Phường 3,Quận Bình Thạnh,33.8,2,2,2,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,3800000000.0
Phường 13,Quận Tân Bình,63.0,3,3,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,1,3910000000.0
Phường 7,Quận Phú Nhuận,58.2,4,3,4,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4000000000.0
Phường 9,Quận Phú Nhuận,66.01,4,4,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,3660000000.0
Phường 13,Quận Gò Vấp,39.0,3,3,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,2300000000.0
Phường 8,Quận Gò Vấp,64.7,4,4,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4200000000.0
Phường 12,Quận Gò Vấp,61.0,2,2,2,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,6290000000.0
Phường 5,Quận 3,48.0,3,3,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,6200000000.0
Phường 10,Quận 6,90.0,2,0,0,"Nhà ngõ, hẻm",,,0,9000000000.0
Phường 12,Quận Gò Vấp,110.0,5,5,4,"Nhà ngõ, hẻm",Nội thất cao cấp,Hẻm xe hơi,0,8000000000.0
Phường 7,Quận Gò Vấp,30.0,2,3,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,3400000000.0
Phường Hiệp Thành,Quận 12,72.0,3,3,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,6300000000.0
Phường Phú Thạnh,Quận Tân Phú,26.0,2,2,2,"Nhà mặt phố, mặt tiền",,,0,2650000000.0
Phường 4,Quận 3,29.0,3,4,0,"Nhà mặt phố, mặt tiền",,,0,8900000000.0
Phường Phú Thuận,Quận 7,58.0,4,5,4,Nhà phố liền kề,,,1,7000000000.0
Phường 3,Quận Tân Bình,60.0,3,3,2,Nhà phố liền kề,Nội thất đầy đủ,,1,5700000000.0
Xã Xuân Thới Sơn,Huyện Hóc Môn,21.0,2,2,0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,1,320000000.0
Phường Tân Định,Quận 1,30.0,3,0,0,"Nhà ngõ, hẻm",,,0,3480000000.0
Phường 10,Quận Phú Nhuận,34.0,4,3,4,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,3500000000.0
Phường 11,Quận 3,34.0,2,3,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,1,2850000000.0
Phường Bình Hưng Hòa,Quận Bình Tân,32.0,3,1,3,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,3250000000.0
Phường Bình Hưng Hoà A,Quận Bình Tân,40.0,3,0,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,Hẻm xe hơi,0,3100000000.0
Phường 16,Quận Gò Vấp,56.0,4,4,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,6350000000.0
Phường 8,Quận Gò Vấp,26.2,2,2,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,Hẻm xe hơi,0,3150000000.0
Phường Hiệp Thành,Quận 12,98.0,4,3,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,5300000000.0
Phường 10,Quận Gò Vấp,32.0,2,2,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,3650000000.0
Phường 2,Quận Tân Bình,37.0,3,3,3,"Nhà ngõ, hẻm",,,0,5500000000.0
Phường 10,Quận 10,56.0,5,4,0,"Nhà mặt phố, mặt tiền",,,0,14500000000.0
Phường 10,Quận 6,20.0,2,2,1,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,1,1560000000.0
Phường 12,Quận Gò Vấp,48.9,4,4,3,Nhà phố liền kề,Nội thất đầy đủ,,0,2350000000.0
Phường 4,Quận Gò Vấp,36.0,2,2,2,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,3800000000.0
Phường 14,Quận Tân Bình,45.7,3,3,3,Nhà phố liền kề,Nội thất cao cấp,,0,2450000000.0
Phường An Lạc,Quận Bình Tân,92.0,6,0,0,"Nhà mặt phố, mặt tiền",,,0,11000000000.0
Phường 15,Quận Bình Thạnh,40.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,2850000000.0
Xã An Phú Tây,Huyện Bình Chánh,103.99,3,3,2,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,730000000.0
Phường 11,Quận Gò Vấp,66.0,4,2,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,6780000000.0
Xã Bình Chánh,Huyện Bình Chánh,100.0,3,2,2,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,0,1400000000.0
Xã Phong Phú,Huyện Bình Chánh,100.0,2,2,2,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,0,900000000.0
Phường Tây Thạnh,Quận Tân Phú,70.0,4,5,4,"Nhà ngõ, hẻm",,,1,8800000000.0
Phường 1,Quận Bình Thạnh,38.0,4,3,4,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,6950000000.0
Thị trấn Nhà Bè,Huyện Nhà Bè,52.0,4,3,3,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,5400000000.0
Phường 15,Quận Bình Thạnh,45.0,2,2,0,"Nhà ngõ, hẻm",,,0,5300000000.0
Phường An Lạc A,Quận Bình Tân,62.0,10,6,5,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,5900000000.0
Thị trấn Nhà Bè,Huyện Nhà Bè,40.0,2,1,0,"Nhà ngõ, hẻm",,,0,2200000000.0
Phường Phú Hữu (Quận 9 cũ),Thành phố Thủ Đức,53.5,3,3,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,5300000000.0
Phường 2,Quận Bình Thạnh,15.0,2,3,0,"Nhà ngõ, hẻm",,,0,3250000000.0
Phường 7,Quận Phú Nhuận,48.0,4,5,4,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,4050000000.0
Xã Bà Điểm,Huyện Hóc Môn,79.99,4,4,2,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,4950000000.0
Phường 5,Quận 10,45.0,4,5,4,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4300000000.0
Phường Hiệp Thành,Quận 12,64.0,4,4,3,"Nhà ngõ, hẻm",,,0,4290000000.0
Đường Phan Anh,,52.0,4,5,4,"Nhà ngõ, hẻm",,,0,5650000000.0
Phường 10,Quận Phú Nhuận,35.0,4,5,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,2850000000.0
Phường 4,Quận Phú Nhuận,52.0,3,0,0,"Nhà ngõ, hẻm",,"Hẻm xe hơi,Nhà dính quy hoạch / lộ giới",0,7000000000.0
Phường 11,Quận 10,62.0,4,4,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,8700000000.0
Phường 11,Quận Gò Vấp,85.0,4,3,0,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,6000000000.0
Phường Tăng Nhơn Phú A (Quận 9 cũ),Thành phố Thủ Đức,73.2,3,3,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,6300000000.0
Phường Thới An,Quận 12,100.0,4,2,2,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,11800000000.0
Thị trấn Nhà Bè,Huyện Nhà Bè,50.0,3,2,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4650000000.0
Phường Trường Thạnh (Quận 9 cũ),Thành phố Thủ Đức,60.0,4,3,3,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,4950000000.0
Xã Thới Tam Thôn,Huyện Hóc Môn,102.99,5,5,0,"Nhà ngõ, hẻm",,,0,4099999999.9999995
Phường Thới An,Quận 12,65.0,2,1,0,"Nhà ngõ, hẻm",,,0,1850000000.0
Phường 7,Quận Bình Thạnh,36.0,4,4,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,6800000000.0
Phường Bình Trị Đông A,Quận Bình Tân,10.0,2,3,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,Hẻm xe hơi,0,2150000000.0
Phường 6,Quận Bình Thạnh,11.0,3,3,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,Hẻm xe hơi,1,2360000000.0
Phường Võ Thị Sáu,Quận 3,10.0,3,3,2,"Nhà ngõ, hẻm",,Hẻm xe hơi,1,2250000000.0
Phường 12,Quận 3,12.0,3,3,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,1,2440000000.0
Phường 1,Quận 10,10.2,2,0,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,1,2120000000.0
Phường 13,Quận 4,68.8,5,0,5,"Nhà mặt phố, mặt tiền",,,0,15000000000.0
Phường Tân Thới Hiệp,Quận 12,119.99,3,3,2,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,9350000000.0
Phường Nguyễn Cư Trinh,Quận 1,34.0,2,0,0,"Nhà ngõ, hẻm",,,0,4800000000.0
Xã Bình Chánh,Huyện Bình Chánh,80.05,2,2,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,650000000.0
Phường 11,Quận 3,40.0,3,2,2,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,3150000000.0
Phường 2,Quận 4,47.2,4,5,2,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,10500000000.0
Phường 12,Quận 10,67.0,10,0,0,"Nhà ngõ, hẻm",,"Hẻm xe hơi,Nhà nở hậu",0,14700000000.0
Phường 28,Quận Bình Thạnh,43.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,2700000000.0
Phường An Phú Đông,Quận 12,52.0,3,2,1,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,2350000000.0
Xã Trung Chánh,Huyện Hóc Môn,65.0,4,3,2,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,4699000000.0
Phường Hiệp Thành,Quận 12,60.0,2,2,1,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,0,3790000000.0
Phường 1,Quận Phú Nhuận,57.0,4,4,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,7500000000.0
Phường 25,Quận Bình Thạnh,30.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,2650000000.0
Phường An Lạc,Quận Bình Tân,58.6,1,1,1,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,3200000000.0
Phường 16,Quận Gò Vấp,43.0,4,0,3,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,5880000000.0
Phường Phú Thạnh,Quận Tân Phú,51.3,2,2,0,"Nhà ngõ, hẻm",,,0,4230000000.0000005
Phường Tân Quý,Quận Tân Phú,120.0,10,0,6,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,0,14000000000.0
Phường Phú Thạnh,Quận Tân Phú,10.0,2,2,1,"Nhà ngõ, hẻm",Nội thất đầy đủ,"Hẻm xe hơi,Nhà nở hậu",1,2100000000.0
Phường 5,Quận 11,10.0,4,3,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,"Hẻm xe hơi,Nhà nở hậu",0,2650000000.0
Phường 16,Quận Gò Vấp,10.0,2,2,1,"Nhà ngõ, hẻm",Nội thất đầy đủ,"Hẻm xe hơi,Nhà nở hậu",0,1980000000.0
Phường 4,Quận 4,48.0,4,5,0,"Nhà ngõ, hẻm",,"Nhà nở hậu,Hẻm xe hơi",0,4500000000.0
Thị trấn Nhà Bè,Huyện Nhà Bè,71.99,3,3,2,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,4000000000.0
Phường Sơn Kỳ,Quận Tân Phú,130.0,6,6,4,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,14000000000.0
Phường 15,Quận Tân Bình,116.8,3,2,1,"Nhà ngõ, hẻm",,,0,6800000000.0
Phường Thới An,Quận 12,29.7,3,3,3,"Nhà ngõ, hẻm",,,0,1680000000.0
Phường 6,Quận Gò Vấp,80.0,6,6,0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,10300000000.0
Phường 15,Quận Tân Bình,50.0,5,5,5,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,6300000000.0
Xã Phước Thạnh,Huyện Củ Chi,89.98,2,2,1,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,2300000000.0
Phường 11,Quận Gò Vấp,102.0,9,0,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,10800000000.0
Phường Bình Hưng Hoà B,Quận Bình Tân,38.0,4,4,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,Hẻm xe hơi,0,2500000000.0
Phường An Lạc,Quận Bình Tân,68.0,5,6,5,"Nhà mặt phố, mặt tiền",,,0,8100000000.0
Phường Bình Trị Đông,Quận Bình Tân,47.0,2,0,1,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,2450000000.0
Phường Bình Trị Đông B,Quận Bình Tân,60.0,4,0,3,"Nhà ngõ, hẻm",Nội thất cao cấp,Hẻm xe hơi,0,5100000000.0
Phường 11,Quận Bình Thạnh,138.0,4,4,3,Nhà biệt thự,Hoàn thiện cơ bản,Hẻm xe hơi,1,15000000000.0
Phường 2,Quận 4,46.0,2,1,0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,Hẻm xe hơi,0,4300000000.0
Phường 5,Quận Bình Thạnh,20.0,2,2,3,"Nhà ngõ, hẻm",Nội thất cao cấp,Hẻm xe hơi,0,2790000000.0
Phường 9,Quận 8,26.0,3,3,0,"Nhà ngõ, hẻm",,Nhà nở hậu,0,3900000000.0
Phường Tân Định,Quận 1,19.8,2,2,2,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,3500000000.0
Phường 14,Quận 8,48.0,3,3,4,"Nhà ngõ, hẻm",,,0,4000000000.0
Phường Võ Thị Sáu,Quận 3,25.0,2,3,3,"Nhà ngõ, hẻm",,Hẻm xe hơi,1,2480000000.0
Phường 5,Quận 5,45.0,6,6,4,"Nhà ngõ, hẻm",Nội thất cao cấp,Hẻm xe hơi,1,2870000000.0
Xã Bình Chánh,Huyện Bình Chánh,80.0,3,2,1,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,Hẻm xe hơi,1,750000000.0
Phường Phú Mỹ,Quận 7,10.0,4,0,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,1,2590000000.0
Phường 8,Quận 11,12.0,4,0,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,2850000000.0
Phường 8,Quận Tân Bình,26.0,2,2,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,Nhà nở hậu,0,2800000000.0
Phường Tân Quý,Quận Tân Phú,44.0,3,0,0,"Nhà ngõ, hẻm",,"Hẻm xe hơi,Nhà nở hậu",0,3000000000.0
Phường 1,Quận 5,38.0,4,0,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,7600000000.0
Xã Bình Chánh,Huyện Bình Chánh,85.0,3,3,1,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,1150000000.0
Xã Tân Xuân,Huyện Hóc Môn,24.5,1,1,1,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,"Hẻm xe hơi,Nhà nở hậu",0,1260000000.0
Phường 12,Quận 10,90.0,5,0,0,"Nhà ngõ, hẻm",,,0,6990000000.0
Phường 14,Quận 10,67.0,5,0,0,"Nhà ngõ, hẻm",,,0,6500000000.0
Xã Tân Kiên,Huyện Bình Chánh,81.2,4,0,1,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,Hẻm xe hơi,1,1200000000.0
Phường Hiệp Thành,Quận 12,30.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,Hẻm xe hơi,0,1650000000.0
Phường 3,Quận 8,42.6,4,3,3,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,4750000000.0
Xã Tân Kiên,Huyện Bình Chánh,81.19,4,0,1,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,1,1200000000.0
Xã Vĩnh Lộc B,Huyện Bình Chánh,40.0,2,2,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,1600000000.0
Phường Bình Hưng Hoà B,Quận Bình Tân,33.0,2,3,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,Hẻm xe hơi,0,2500000000.0
Phường 15,Quận 8,28.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,Nhà nở hậu,0,2550000000.0
Phường 3,Quận 6,62.0,4,4,4,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,Hẻm xe hơi,0,6500000000.0
Phường 15,Quận Gò Vấp,80.0,2,2,2,"Nhà mặt phố, mặt tiền",,,0,7300000000.0
Phường 6,Quận 11,30.0,3,2,2,"Nhà ngõ, hẻm",Bàn giao thô,Nhà nát,0,4099999999.9999995
Phường 16,Quận Gò Vấp,46.0,4,3,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,5500000000.0
Phường 12,Quận 10,60.0,4,3,5,"Nhà ngõ, hẻm",Nội thất cao cấp,Nhà nở hậu,0,9600000000.0
Phường 9,Quận Gò Vấp,54.0,4,3,4,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,5450000000.0
Phường 12,Quận Tân Bình,70.0,6,6,5,,,,0,8500000000.0
Phường 16,Quận 8,44.0,4,3,3,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,3850000000.0
