DistrictId,WardId,StreetId,Size,Rooms,Toilets,Floors,Type,FurnishingSell,Characteristics,Urgent,Price
1,10,114,30.0,3,0,0,"Nhà ngõ, hẻm",,,0,3480000000.0
17,220,2087,34.0,4,3,4,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,3500000000.0
14,168,1574,32.0,3,1,3,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,3250000000.0
14,169,1616,40.0,3,0,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,Hẻm xe hơi,0,3100000000.0
16,210,2004,56.0,4,4,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,6350000000.0
16,202,1941,26.2,2,2,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,Hẻm xe hơi,0,3150000000.0
12,147,1269,98.0,4,3,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,5300000000.0
16,204,1954,32.0,2,2,2,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,3650000000.0
10,121,1075,56.0,5,4,0,"Nhà mặt phố, mặt tiền",,,0,14500000000.0
6,68,538,20.0,2,2,1,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,1,1560000000.0
16,206,1970,48.9,4,4,3,Nhà phố liền kề,Nội thất đầy đủ,,0,2350000000.0
16,198,1895,36.0,2,2,2,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,3800000000.0
18,239,2289,45.7,3,3,3,Nhà phố liền kề,Nội thất cao cấp,,0,2450000000.0
14,166,1529,92.0,6,0,0,"Nhà mặt phố, mặt tiền",,,0,11000000000.0
15,186,1820,40.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,2850000000.0
16,205,1963,66.0,4,2,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,6780000000.0
20,253,2491,100.0,3,2,2,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,0,1400000000.0
20,260,2539,100.0,2,2,2,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,0,900000000.0
19,250,2481,70.0,4,5,4,"Nhà ngõ, hẻm",,,1,8800000000.0
15,176,1754,38.0,4,3,4,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,6950000000.0
15,186,1820,45.0,2,2,0,"Nhà ngõ, hẻm",,,0,5300000000.0
15,177,1759,15.0,2,3,0,"Nhà ngõ, hẻm",,,0,3250000000.0
10,116,1036,45.0,4,5,4,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,4300000000.0
17,220,2086,35.0,4,5,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,2850000000.0
17,215,2046,52.0,3,0,0,"Nhà ngõ, hẻm",,"Hẻm xe hơi,Nhà dính quy hoạch / lộ giới",0,7000000000.0
16,205,1966,85.0,4,3,0,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,6000000000.0
12,143,1229,100.0,4,2,2,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,,0,11800000000.0
9,111,1002,60.0,4,3,3,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,4950000000.0
23,302,2713,102.99,5,5,0,"Nhà ngõ, hẻm",,,0,4099999999.9999995
15,181,1784,36.0,4,4,3,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,6800000000.0
14,172,1668,10.0,2,3,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,Hẻm xe hơi,0,2150000000.0
15,180,1780,11.0,3,3,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,Hẻm xe hơi,1,2360000000.0
3,29,318,12.0,3,3,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,1,2440000000.0
10,112,1008,10.2,2,0,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,1,2120000000.0
4,40,361,68.8,5,0,5,"Nhà mặt phố, mặt tiền",,,0,15000000000.0
1,7,75,34.0,2,0,0,"Nhà ngõ, hẻm",,,0,4800000000.0
20,253,2494,80.05,2,2,0,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,650000000.0
4,33,330,47.2,4,5,2,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,10500000000.0
15,195,1870,43.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,0,2700000000.0
23,303,2716,65.0,4,3,2,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,0,4699000000.0
17,212,2018,57.0,4,4,0,"Nhà ngõ, hẻm",,Hẻm xe hơi,0,7500000000.0
15,192,1854,30.0,2,2,2,"Nhà ngõ, hẻm",Nội thất đầy đủ,,1,2650000000.0
14,166,1536,58.6,1,1,1,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,0,3200000000.0
16,210,2004,43.0,4,0,3,"Nhà ngõ, hẻm",Nội thất cao cấp,,0,5880000000.0
19,246,2390,120.0,10,0,6,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,0,14000000000.0
19,242,2328,10.0,2,2,1,"Nhà ngõ, hẻm",Nội thất đầy đủ,"Hẻm xe hơi,Nhà nở hậu",1,2100000000.0
