price,area,bedroom,toilet,district,province
3000000000.0,66.0,2.0,2.0,Thủ Đức,Hồ Chí Minh
7590000000.0,69.0,2.0,2.0,Hoài Đức,Hà Nội
10500000000.0,98.0,2.0,2.0,Văn Giang,Hưng Yên
11980000000.0,91.0,4.0,4.0,Quận 9,Hồ Chí Minh
5600000000.0,95.0,3.0,2.0,Hai Bà Trưng,Hà Nội
7940000000.0,78.5,2.0,2.0,Quận 1,Hồ Chí Minh
5900000000.0,81.0,2.0,2.0,Quận 2,Hồ Chí Minh
9500000000.0,67.4,4.0,6.0,Gò Vấp,Hồ Chí Minh
6700000000.0,150.0,7.0,2.0,Thuận An,Bình Dương
268000000.0,45.0,2.0,2.0,Thuận An,Bình Dương
1800000000.0,58.0,2.0,2.0,Quận 9,Hồ Chí Minh
3500000000.0,51.0,1.0,1.0,Long Biên,Hà Nội
5900000000.0,96.0,2.0,2.0,Tân Phú,Hồ Chí Minh
9000000000.0,225.0,4.0,4.0,Bến Lức,Long An
2650000000.0,53.0,1.0,1.0,Hạ Long,Quảng Ninh
1400000000.0,50.0,2.0,2.0,Liên Chiểu,Đà Nẵng
11200000000.0,108.0,10.0,8.0,Thủy Nguyên,Hải Phòng
18000000000.0,100.0,2.0,2.0,Ngũ Hành Sơn,Đà Nẵng
3300000000.0,32.0,3.0,3.0,Bình Tân,Hồ Chí Minh
4550000000.0,160.0,4.0,3.0,Phan Thiết,Bình Thuận
8700000000.0,107.0,3.0,2.0,Nam Từ Liêm,Hà Nội
7100000000.0,56.0,4.0,2.0,Văn Giang,Hưng Yên
2600000000.0,56.0,2.0,1.0,Văn Giang,Hưng Yên
12500000000.0,145.0,3.0,2.0,Cầu Giấy,Hà Nội
1370000000.0,57.0,2.0,2.0,Quận 8,Hồ Chí Minh
4690000000.0,109.0,3.0,2.0,Cầu Giấy,Hà Nội
1200000000.0,44.38,2.0,1.0,Phủ Lý,Hà Nam
6200000000.0,83.0,2.0,2.0,Quận 2,Hồ Chí Minh
2500000000.0,46.0,1.0,1.0,Nam Từ Liêm,Hà Nội
5300000000.0,81.0,3.0,2.0,Nam Từ Liêm,Hà Nội
18000000000.0,200.0,5.0,5.0,Thủ Đức,Hồ Chí Minh
4950000000.0,33.0,2.0,2.0,Phú Nhuận,Hồ Chí Minh
2280000000.0,71.0,2.0,2.0,Thuận An,Bình Dương
10700000000.0,118.0,3.0,2.0,Quận 2,Hồ Chí Minh
2800000000.0,56.0,1.0,1.0,Văn Giang,Hưng Yên
13860000000.0,84.0,3.0,3.0,Quận 12,Hồ Chí Minh
3400000000.0,72.0,2.0,2.0,Văn Giang,Hưng Yên
1200000000.0,56.0,2.0,2.0,Quận 8,Hồ Chí Minh
2470000000.0,66.0,2.0,2.0,Văn Giang,Hưng Yên
14000000000.0,99.0,3.0,2.0,Quận 1,Hồ Chí Minh
3500000000.0,65.0,2.0,2.0,Văn Giang,Hưng Yên
1600000000.0,100.0,2.0,2.0,Thanh Liêm,Hà Nam
9900000000.0,83.0,2.0,2.0,Quận 1,Hồ Chí Minh
9000000000.0,120.0,3.0,2.0,Bình Thạnh,Hồ Chí Minh
5500000000.0,86.0,2.0,2.0,Bình Thạnh,Hồ Chí Minh
6500000000.0,104.0,3.0,2.0,Bắc Từ Liêm,Hà Nội
30900000000.0,241.0,3.0,3.0,Thủy Nguyên,Hải Phòng
8600000000.0,103.0,3.0,2.0,Cầu Giấy,Hà Nội
24500000000.0,70.0,20.0,20.0,Cầu Giấy,Hà Nội
5600000000.0,88.0,2.0,2.0,Phan Thiết,Bình Thuận
2560000000.0,60.0,2.0,2.0,Quận 9,Hồ Chí Minh
3820000000.0,91.0,3.0,2.0,Hà Đông,Hà Nội
4320000000.0,80.0,2.0,2.0,Quận 2,Hồ Chí Minh
3800000000.0,91.6,3.0,2.0,Hà Đông,Hà Nội
2000000000.0,54.5,2.0,2.0,Văn Giang,Hưng Yên
9900000000.0,90.0,2.0,2.0,Thường Tín,Hà Nội
16399999999.999998,84.0,2.0,2.0,Văn Giang,Hưng Yên
7650000000.0,78.0,2.0,2.0,Quận 1,Hồ Chí Minh
8400000000.0,120.0,4.0,3.0,Mê Linh,Hà Nội
8600000000.0,86.0,2.0,2.0,Hà Đông,Hà Nội
2750000000.0,56.0,2.0,1.0,Long Biên,Hà Nội
10000000000.0,150.0,3.0,3.0,Tây Hồ,Hà Nội
