title,price,address,price_m2,direction,property_legal_document,land_type,pty_characteristics,size,width,length
GẤP BÁN LÔ ĐẤT 1000M2 HƠN 9 TỶ ĐƯỜNG RỪNG SÁT XÃ BÌNH KHÁNH CẦN GIỜ - 116890951,"9,9 tỷ","Đường Rừng Sát, Xã Bình Khánh, Huyện Cần Giờ, Tp Hồ Chí Minh","9,90 triệu/m²",,Đã có sổ,Đất nông nghiệp,Mặt tiền,1000 m²,16 m,67 m
Thổ cư giá rẻ xã An Thới Đông - cần giờ 125m2(5x25) Giá 1.35 Tỷ TL - 118871349,"1,35 tỷ","An Thới Đông, Xã An Thới Đông, Huyện Cần Giờ, Tp Hồ Chí Minh","10,80 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,125 m²,5 m,25 m
"Gộp bán lô đất mặt tiền 1000m2 giá 1.7 tỷ xã An Thới Đông, Cần giờ - 118266310","1,7 tỷ","Đê Rạch Lá, Xã An Thới Đông, Huyện Cần Giờ, Tp Hồ Chí Minh","1,70 triệu/m²",,Đang chờ sổ,Đất nông nghiệp,Mặt tiền,1000 m²,10 m,100 m
Đất full thổ - 119618298,"3,5 tỷ","Nguyễn Xí , Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",100 triệu/m²,Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",35 m²,,
"Cần Bán 4x12 Lọt khe 1/ Võ Văn Vân, Vloc B. cây xăng Vvv - 118448511",750 triệu,"Đường Võ Văn Vân, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh","15,62 triệu/m²",Nam,Sổ chung / công chứng vi bằng,Đất nông nghiệp,"Hẻm xe hơi,Không có thổ cư",48 m²,4 m,12 m
"Lô Đất 5 x 18 Tại Phước Kiển, MT Đường 8m , Xây dựng Tự do, Sổ Sẵn - 113972866","5,22 tỷ","Lê Văn Lương Phước Kiển, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",58 triệu/m²,,Đã có sổ,Đất thổ cư,Hẻm xe hơi,90 m²,5 m,18 m
Bán đất Lớn HXH An Dương Vương - 116196612,39 tỷ,"Đường An Dương Vương, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","72,49 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Nở hậu",538 m²,11 m,40 m
Bán 2 lô liền kề 10x27 thạnh xuân 46 quận 12 11 ty 9 tl - 117791731,"11,9 tỷ","Đường Thạnh Xuân 46, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","44,07 triệu/m²",,Đã có sổ,Đất thổ cư,,270 m²,10 m,27 m
Bán Đất Đông Thạnh Hóc Môn giáp Q12 đường nhựa 7m DT 5x16 khu dân cư - 119573715,"3,2 tỷ","Đường Đông Thạnh 4, Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh",40 triệu/m²,Đông,Đã có sổ,Đất thổ cư,,80 m²,5 m,16 m
"Bán đất thổ cư huyện nhà Bè 8x20m2 đường 12m 7,5 Tỷ - 119505254","6,8 tỷ","đường Nguyễn Thị Hương, Thị trấn Nhà Bè, Huyện Nhà Bè, Tp Hồ Chí Minh","42,50 triệu/m²",,Đã có sổ,Đất thổ cư,,160 m²,8 m,20 m
Bán đất 16x48 nở hậu 300m Thổ cư- 1/ 100m QUỐC LỘ 22 -Tách ra dc 3 lô - 115628588,"5,8 tỷ","Đường Quốc lộ 22, Xã Tân Thông Hội, Huyện Củ Chi, Tp Hồ Chí Minh","7,53 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Nở hậu,Thổ cư 1 phần,Thổ cư toàn bộ",770 m²,16 m,48 m
Gấp bán - NGANG 6m sát bên Thị Trấn Củ Chi - Full Thổ - Xây tự do - Re - 119230195,"2,6 tỷ","Đường Mai Thị Buội, Xã Phước Vĩnh An, Huyện Củ Chi, Tp Hồ Chí Minh","19,70 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ,Hẻm xe hơi",132 m²,6 m,22 m
