DistrictId,WardId,StreetId,Size,Type,Characteristics,Urgent,Price
7,73,576,75.0,Đất thổ cư,"Hẻm xe hơi,Nở hậu,Thổ cư toàn bộ",0,5700000000.0
14,170,1637,80.0,Đất thổ cư,Hẻm xe hơi,0,3600000000.0
20,259,2531,63.0,Đất thổ cư,,0,285000000.0
12,143,1227,200.0,Đất thổ cư,"Hẻm xe hơi,Nở hậu",0,10480000000.0
12,145,1255,76.0,Đất thổ cư,,1,3600000000.0
12,151,1320,62.0,Đất thổ cư,"Hẻm xe hơi,Nở hậu",0,3750000000.0
22,281,2604,192.0,Đất thổ cư,Thổ cư toàn bộ,1,995000000.0
13,162,1491,58.7,Đất thổ cư,Hẻm xe hơi,0,4099999999.9999995
14,172,1672,68.0,Đất thổ cư,Hẻm xe hơi,0,4400000000.0
16,208,1992,69.0,Đất thổ cư,Thổ cư toàn bộ,0,4650000000.0
14,166,1546,70.0,Đất thổ cư,"Mặt tiền,Nở hậu,Hẻm xe hơi",1,4550000000.0
14,166,1546,52.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",1,3380000000.0
14,166,1533,72.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",0,5500000000.0
14,166,1536,59.0,Đất thổ cư,"Hẻm xe hơi,Nở hậu,Thổ cư toàn bộ",0,3850000000.0
14,172,1673,60.0,Đất thổ cư,Mặt tiền,0,3350000000.0
16,200,1908,67.0,Đất thổ cư,Hẻm xe hơi,0,7800000000.0
8,89,829,240.0,Đất nền dự án,,0,9120000000.0
13,164,1512,54.0,Đất thổ cư,,0,4300000000.0
8,89,829,120.0,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",0,7000000000.0
13,154,1371,55.3,Đất thổ cư,Hẻm xe hơi,0,2900000000.0
18,225,2121,52.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,5200000000.0
9,107,952,105.0,Đất nền dự án,Mặt tiền,0,11000000000.0
7,78,659,10.5,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",1,2000000000.0
24,312,2755,95.0,Đất thổ cư,"Hẻm xe hơi,Mặt tiền,Thổ cư toàn bộ",0,5510000000.0
9,101,898,80.6,Đất thổ cư,Mặt tiền,0,3600000000.0
23,305,2725,80.0,Đất thổ cư,Hẻm xe hơi,1,300000000.0
15,184,1805,54.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,5700000000.0
24,310,2748,89.0,Đất thổ cư,Hẻm xe hơi,0,3050000000.0
13,165,1519,53.0,Đất thổ cư,Hẻm xe hơi,0,4300000000.0
20,253,2495,88.3,Đất thổ cư,"Nở hậu,Thổ cư toàn bộ",0,4250000000.0
24,310,2749,100.0,Đất thổ cư,Hẻm xe hơi,0,3600000000.0
12,153,1347,208.0,Đất thổ cư,Hẻm xe hơi,0,4500000000.0
12,153,1353,80.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,3647000000.0
13,156,1412,130.0,Đất thổ cư,Mặt tiền,0,6500000000.0
23,302,2711,260.0,Đất thổ cư,Hẻm xe hơi,0,3900000000.0
13,156,1402,110.0,Đất thổ cư,Hẻm xe hơi,0,6650000000.0
20,266,2568,120.0,Đất nông nghiệp,Mặt tiền,1,4350000000.0
12,147,1271,90.0,Đất thổ cư,,0,3950000000.0
12,152,1334,85.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",0,3250000000.0
14,169,1618,80.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",0,4200000000.0
12,153,1347,83.0,Đất thổ cư,Hẻm xe hơi,0,2450000000.0
18,227,2147,42.0,Đất thổ cư,Hẻm xe hơi,0,6500000000.0
23,302,2709,110.0,Đất thổ cư,Hẻm xe hơi,0,4200000000.0
22,288,2627,100.0,Đất thổ cư,,0,2350000000.0
20,251,2483,90.0,Đất thổ cư,Mặt tiền,0,1900000000.0
20,259,2529,100.0,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",0,2800000000.0
14,166,1537,64.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",0,4650000000.0
12,147,1271,52.0,Đất thổ cư,Hẻm xe hơi,0,3350000000.0
18,225,2121,50.0,Đất thổ cư,"Hẻm xe hơi,Nở hậu",0,3400000000.0
23,302,2713,119.0,Đất thổ cư,"Hẻm xe hơi,Nở hậu",0,4200000000.0
13,159,1445,86.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",1,7200000000.0
12,152,1334,85.0,Đất thổ cư,Hẻm xe hơi,0,3300000000.0
24,309,2747,122.0,Đất thổ cư,Mặt tiền,0,3500000000.0
9,102,902,110.0,Đất thổ cư,Mặt tiền,0,5000000000.0
9,102,901,76.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,3400000000.0
12,149,1301,68.0,Đất thổ cư,Hẻm xe hơi,1,3150000000.0
9,103,910,123.0,Đất thổ cư,"Thổ cư toàn bộ,Hẻm xe hơi",0,4300000000.0
9,108,971,60.0,Đất thổ cư,Thổ cư toàn bộ,0,2950000000.0
23,302,2712,167.99,Đất thổ cư,"Thổ cư toàn bộ,Hẻm xe hơi",0,4650000000.0
7,80,807,85.0,Đất thổ cư,Mặt tiền,0,12000000000.0
12,152,1321,92.0,Đất thổ cư,Mặt tiền,1,3300000000.0
7,74,587,51.0,Đất thổ cư,Hẻm xe hơi,0,3150000000.0
23,299,2689,227.0,Đất thổ cư,Mặt tiền,1,1380000000.0
9,111,1005,52.0,Đất thổ cư,Mặt tiền,0,2950000000.0
9,104,918,76.3,Đất thổ cư,Hẻm xe hơi,0,3950000000.0
13,165,1518,103.0,Đất thổ cư,"Hẻm xe hơi,Nở hậu,Mặt tiền",0,6600000000.0
23,299,2683,100.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu,Thổ cư toàn bộ",0,3500000000.0
13,157,1419,116.0,Đất thổ cư,Hẻm xe hơi,0,5200000000.0
12,153,1350,100.0,Đất nông nghiệp,"Không có thổ cư,Chưa có thổ cư",0,800000000.0
24,312,2755,100.0,Đất thổ cư,,0,4500000000.0
23,305,2724,110.0,Đất thổ cư,Mặt tiền,0,3490000000.0
22,277,2593,81.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",1,1300000000.0
12,153,1363,102.0,Đất thổ cư,Hẻm xe hơi,0,3650000000.0
13,163,1503,54.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,4050000000.0
24,310,2749,80.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,4200000000.0
9,104,918,63.0,Đất thổ cư,Mặt tiền,1,3550000000.0
15,184,1807,105.0,Đất thổ cư,,0,7500000000.0
15,184,1805,86.0,Đất thổ cư,,0,9500000000.0
24,310,2748,159.0,Đất thổ cư,,0,2100000000.0
9,103,911,51.0,Đất thổ cư,,1,2390000000.0
16,211,2013,75.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",0,6000000000.0
24,310,2749,114.0,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ,Nở hậu",0,3900000000.0
9,111,1005,52.0,Đất thổ cư,Thổ cư toàn bộ,0,2950000000.0
24,310,2748,80.0,Đất thổ cư,Hẻm xe hơi,0,2500000000.0
9,102,902,101.0,Đất thổ cư,,0,4000000000.0
14,172,1670,80.0,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",0,4700000000.0
9,107,949,85.0,Đất nền dự án,Mặt tiền,0,6250000000.0
12,148,1282,64.9,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ,Mặt tiền",0,4700000000.0
14,166,1536,66.7,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",0,4350000000.0
