price,rooms,toilets,floors,house_type,furnishing_sell,size,ward,district
2650000000.0,4,0,0.0,Nhà phố liền kề,Hoàn thiện cơ bản,67.0,Phường 1,Quận Bình Thạnh
5250000000.0,3,0,0.0,Nhà phố liền kề,Hoàn thiện cơ bản,58.0,Phường Tân Định,Quận 1
2540000000.0,4,0,0.0,Nhà phố liền kề,Hoàn thiện cơ bản,64.0,Phường 7,Quận Phú Nhuận
2250000000.0,2,3,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,35.0,Phường 5,Quận Gò Vấp
8199999999.999999,4,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,80.0,Phường Phú Thọ Hòa,Quận Tân Phú
2950000000.0,2,2,1.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,50.0,Phường 15,Quận Tân Bình
2900000000.0,4,4,0.0,Nhà phố liền kề,Nội thất đầy đủ,44.0,Phường 16,Quận Gò Vấp
2470000000.0,3,3,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,21.0,Phường Bình Hưng Hoà A,Quận Bình Tân
2400000000.0,2,0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,23.0,Phường Tây Thạnh,Quận Tân Phú
7000000000.0,2,1,1.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,90.0,Phường Trường Thọ (Quận Thủ Đức cũ),Thành phố Thủ Đức
2470000000.0,3,3,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,21.0,Phường Bình Hưng Hoà A,Quận Bình Tân
2400000000.0,2,0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,23.0,Phường Tây Thạnh,Quận Tân Phú
7000000000.0,2,1,1.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,90.0,Phường Trường Thọ (Quận Thủ Đức cũ),Thành phố Thủ Đức
2300000000.0,2,2,1.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,45.0,Xã Xuân Thới Sơn,Huyện Hóc Môn
7700000000.0,3,3,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,82.0,Phường Phú Thọ Hòa,Quận Tân Phú
8600000000.0,4,4,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,60.0,Phường 13,Quận Bình Thạnh
1400000000.0,3,1,1.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,46.01,Phường Long Thạnh Mỹ (Quận 9 cũ),Thành phố Thủ Đức
3800000000.0,6,2,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,72.0,Phường Bình Trị Đông,Quận Bình Tân
2000000000.0,4,3,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,56.01,Xã Vĩnh Lộc A,Huyện Bình Chánh
3350000000.0,2,2,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,57.3,Phường Hiệp Thành,Quận 12
3350000000.0,2,2,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,57.3,Phường Hiệp Thành,Quận 12
1880000000.0,4,3,0.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,30.0,Phường Bình Hưng Hoà B,Quận Bình Tân
5000000000.0,2,2,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,54.0,Phường 12,Quận 6
1400000000.0,3,3,2.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,126.01,Xã Tân Kiên,Huyện Bình Chánh
1150000000.0,3,2,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,70.99,Phường Bình Thọ (Quận Thủ Đức cũ),Thành phố Thủ Đức
3400000000.0,2,2,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,79.0,Phường Bình Hưng Hoà B,Quận Bình Tân
4300000000.0,2,2,3.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,30.0,Phường 2,Quận Phú Nhuận
3800000000.0,2,2,1.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,75.0,Phường 15,Quận 8
4750000000.0,2,2,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,62.0,Phường Sơn Kỳ,Quận Tân Phú
9800000000.0,5,6,4.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,65.0,Phường Thới An,Quận 12
1880000000.0,4,3,0.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,30.0,Phường Bình Hưng Hoà B,Quận Bình Tân
