price,address,price_m2,direction,property_legal_document,land_type,pty_characteristics,size,width,length
"2,15 tỷ","đường số 397, Xã Tân Thạnh Đông, Huyện Củ Chi, Tp Hồ Chí Minh","21,50 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",100 m²,5 m,20 m
"2,15 tỷ","đường số 397, Xã Tân Thạnh Đông, Huyện Củ Chi, Tp Hồ Chí Minh","21,50 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",100 m²,5 m,20 m
"1,60 tỷ","đường hẻm số 49, Xã Tân Thạnh Đông, Huyện Củ Chi, Tp Hồ Chí Minh","17,58 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",91 m²,5 m,18 m
"1,65 tỷ","hẻm số 49, Xã Tân Thạnh Đông, Huyện Củ Chi, Tp Hồ Chí Minh","16,50 triệu/m²",Tây Bắc,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",100 m²,5 m,20 m
"3,30 tỷ",Cập nhật 9 ngày trước,"43,42 triệu/m²",,Đã có sổ,Đất thổ cư,,76 m²,,
"2,60 tỷ","Đường Võ Văn Hát, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","49,04 triệu/m²",,Đã có sổ,Đất nền dự án,"Hẻm xe hơi,Thổ cư toàn bộ",53 m²,5 m,
"3,60 tỷ","Hẻm 17 Đường Ụ Ghe, Phường Tam Phú (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",60 triệu/m²,Tây Nam,Đã có sổ,Đất thổ cư,Hẻm xe hơi,60 m²,4 m,15 m
4 tỷ,"Đường Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","58,82 triệu/m²",,Đã có sổ,Đất thổ cư,"Nở hậu,Hẻm xe hơi",68 m²,4.5 m,17 m
12 tỷ,"Hẻm 211 Đường Vườn Lài, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","60,61 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,Hẻm xe hơi,198 m²,7.5 m,26.4 m
"3,70 tỷ","Đường Hoàng Bật Đạt, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",74 triệu/m²,,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Nở hậu",50 m²,4 m,12.5 m
45 tỷ,Cập nhật 9 ngày trước,"43,27 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",1040 m²,,
"8,50 tỷ","TX 25, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","27,42 triệu/m²",,Đã có sổ,Đất thổ cư,Thổ cư toàn bộ,310 m²,7 m,45 m
36 tỷ,"Đường An Phú Đông 9, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh",40 triệu/m²,,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ,Nở hậu",900 m²,26 m,30 m
480 triệu,"Đường Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",6 triệu/m²,,Đã có sổ,Đất thổ cư,,80 m²,5 m,16 m
"5,20 tỷ","Đường Dương Đình Hội, Phường Tăng Nhơn Phú B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","64,52 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",80.6 m²,5.6 m,14.4 m
"10,80 tỷ","Đường Thạnh Xuân 52, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","38,43 triệu/m²",Tây Bắc,Đã có sổ,Đất thổ cư,Mặt tiền,281 m²,6.5 m,39 m
6 tỷ,Cập nhật 9 ngày trước,"70,59 triệu/m²",,Đã có sổ,Đất thổ cư,,85 m²,,
"7,20 tỷ","Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh",100 triệu/m²,,Đã có sổ,Đất thổ cư,,72 m²,4.5 m,16 m
"6,20 tỷ","Đường 11A, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",62 triệu/m²,Đông,Đã có sổ,Đất thổ cư,,100 m²,5 m,20 m
480 triệu,"Huỳnh Thị Mài, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",6 triệu/m²,,Đã có sổ,Đất thổ cư,,80 m²,5 m,16 m
"4,90 tỷ","Đường Võ Văn Ngân, Phường Bình Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",98 triệu/m²,,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",50 m²,5 m,10 m
13 tỷ,"Đường Đặng Nguyên Cẩn, Phường 13, Quận 6, Tp Hồ Chí Minh","203,11 triệu/m²",,Đã có sổ,Đất thổ cư,,64 m²,4 m,16 m
"2,50 tỷ","Nguyễn Oanh, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh",50 triệu/m²,,Đã có sổ,Đất thổ cư,Hẻm xe hơi,50 m²,5 m,10 m
15 tỷ,"Đường Nhựa Đường Nguyễn Đình Kiên Thuộc  Xã Tân Nhựt Bình Chánh Tphcm, Xã Tân Nhựt, Huyện Bình Chánh, Tp Hồ Chí Minh","17,86 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu",840 m²,13 m,63 m
"4,50 tỷ","Đường Nhựa  Đ SỐ  4 Thuộc  Xã Tân Nhựt Bình Chánh Tphcm, Xã Tân Nhựt, Huyện Bình Chánh, Tp Hồ Chí Minh","4,16 triệu/m²",,Đã có sổ,Đất nông nghiệp,Mặt tiền,1083 m²,27 m,40 m
"10,50 tỷ","Đường Cầu Xây, Phường Tân Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","46,81 triệu/m²",Tây Nam,Đã có sổ,Đất thổ cư,Hẻm xe hơi,224.3 m²,7 m,31.5 m
600 triệu,"Đường Ba Sa, Xã Phước Hiệp, Huyện Củ Chi, Tp Hồ Chí Minh","2,50 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",240 m²,8 m,30 m
"1,85 tỷ","Đường Bùi Thanh Khiết, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh","34,26 triệu/m²",,Đã có sổ,Đất thổ cư,,54 m²,4.8 m,11 m
"2,50 tỷ","DD5, Phường Tân Hưng Thuận, Quận 12, Tp Hồ Chí Minh","31,25 triệu/m²",,Đã có sổ,Đất thổ cư,Thổ cư toàn bộ,80 m²,5 m,16 m
"3,20 tỷ","Đông Thạnh 4, Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh","38,74 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",82.6 m²,5.1 m,16.2 m
600 triệu,"Huỳnh thị Vân, Xã Tân An Hội, Huyện Củ Chi, Tp Hồ Chí Minh","2,73 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,220 m²,5 m,44 m
"2,40 tỷ",Cập nhật 9 ngày trước,"46,88 triệu/m²",,Đã có sổ,Đất thổ cư,,51.2 m²,,
"4,90 tỷ","Đường Đình Nghi Xuân, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","68,06 triệu/m²",Tây,Đã có sổ,Đất thổ cư,Hẻm xe hơi,72 m²,4 m,18 m
"4,28 tỷ","Hẻm 180 đường vườn lài , Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","85,60 triệu/m²",Bắc,Đã có sổ,Đất thổ cư,Hẻm xe hơi,50 m²,4 m,12.5 m
29 tỷ,"Tỉnh Lộ 15, Thị trấn Hóc Môn, Huyện Hóc Môn, Tp Hồ Chí Minh","4,83 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,6000 m²,15 m,400 m
"8,60 tỷ","Đường An Phú Đông 9, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","45,43 triệu/m²",Tây,Đã có sổ,Đất thổ cư,Hẻm xe hơi,189.3 m²,7.5 m,25.24 m
"5,80 tỷ","Đường Bùi Đình Tuý, Phường 24, Quận Bình Thạnh, Tp Hồ Chí Minh","79,45 triệu/m²",Nam,Đã có sổ,Đất thổ cư,"Nở hậu,Thổ cư toàn bộ,Hẻm xe hơi",73 m²,3.6 m,17 m
"5,10 tỷ","Đường D9, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","78,46 triệu/m²",,Đã có sổ,Đất thổ cư,,65 m²,5 m,13 m
"8,60 tỷ","Quang trung, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh","120,45 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,Mặt tiền,71.4 m²,4.2 m,17 m
"11,80 tỷ","Đường Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",118 triệu/m²,,Đã có sổ,Đất thổ cư,,100 m²,5.8 m,18 m
"9,20 tỷ","Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",115 triệu/m²,,Đang chờ sổ,Đất thổ cư,Hẻm xe hơi,80 m²,4 m,20 m
6 tỷ,"Đường An Phú Đông 9, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","37,88 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,Hẻm xe hơi,158.4 m²,7.5 m,21.12 m
120 tỷ,Cập nhật 9 ngày trước,"133,33 triệu/m²",,,Đất thổ cư,,900 m²,,
"3,90 tỷ","Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",65 triệu/m²,Tây,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",60 m²,5 m,12 m
"6,95 tỷ","Đường Thống Nhất, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh","77,22 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,90 m²,5 m,18 m
"3,30 tỷ","Đường Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","41,25 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,80 m²,4 m,20 m
"4,58 tỷ","Hẻm 252 Đường Vườn Lài, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","78,97 triệu/m²",Tây,Đã có sổ,Đất thổ cư,Hẻm xe hơi,58 m²,4 m,14.5 m
"8,30 tỷ","Đường An Phú Đông 13, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","79,27 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,Mặt tiền,104.7 m²,5 m,20.94 m
"6,95 tỷ","Xuân Thới Thượng 59, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh","43,44 triệu/m²",Đông Bắc,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",160 m²,8 m,20 m
"7,20 tỷ","Khu dân cư Gia Hoà, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",50 triệu/m²,Bắc,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",144 m²,8 m,18 m
"9,10 tỷ","Hẻm 201 Đường Vườn Lài, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","41,84 triệu/m²",Tây Bắc,Đã có sổ,Đất thổ cư,Hẻm xe hơi,217.5 m²,6.2 m,35.08 m
850 triệu,"Đường Ba Sa, Xã Phước Hiệp, Huyện Củ Chi, Tp Hồ Chí Minh","7,26 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",117 m²,5 m,25.5 m
650 triệu,"Đường Huỳnh Minh Mương, Xã Tân Thạnh Đông, Huyện Củ Chi, Tp Hồ Chí Minh","3,30 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,197 m²,8 m,25 m
11 tỷ,"Đường Tiền Lân 14, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh","61,45 triệu/m²",Nam,Đã có sổ,Đất thổ cư,Hẻm xe hơi,,10 m,17.9 m
"1,80 tỷ","Đường Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh",9 triệu/m²,,Đã có sổ,Đất thổ cư,,200 m²,10 m,20 m
"4,30 tỷ",Cập nhật 9 ngày trước,"44,33 triệu/m²",,Đã có sổ,Đất thổ cư,,97 m²,,
"1,20 tỷ","Đường Hồ Văn Tắng, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh","9,23 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,Mặt tiền,,5 m,26 m
"8,15 tỷ","Đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","59,49 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Nở hậu",137 m²,5.1 m,27 m
"3,20 tỷ","Xuân Thới Thượng 59, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh","42,11 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,76 m²,4 m,19 m
"3,30 tỷ","Tờ 59 thửa 9xx, Đường số 18, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",55 triệu/m²,Đông Bắc,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",60 m²,4 m,15 m
"3,77 tỷ",Cập nhật 9 ngày trước,65 triệu/m²,,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Hẻm xe hơi,Thổ cư toàn bộ",58 m²,,
500 triệu,"Đường Quốc lộ 22, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh","3,33 triệu/m²",,Đã có sổ,Đất thổ cư,,150 m²,5 m,30 m
2 tỷ,"Đường Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh",20 triệu/m²,,Đang chờ sổ,Đất nền dự án,,100 m²,5 m,20 m
"1,40 tỷ","Đường Nguyễn Thị Lắng, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh","14,14 triệu/m²",Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",99 m²,5.5 m,18 m
"8,50 tỷ","Phú Mỹ, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","92,39 triệu/m²",,Đã có sổ,Đất thổ cư,,92 m²,4 m,23 m
640 triệu,"TL7, Xã Thái Mỹ, Huyện Củ Chi, Tp Hồ Chí Minh",879.120 đ/m²,,Đã có sổ,Đất thổ cư,,728 m²,15 m,48 m
"6,40 tỷ","Liên Phường, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",40 triệu/m²,,Đang chờ sổ,Đất nền dự án,"Mặt tiền,Thổ cư toàn bộ",160 m²,8 m,20 m
550 triệu,"Đường Số 26, Xã Tân An Hội, Huyện Củ Chi, Tp Hồ Chí Minh","3,69 triệu/m²",,Đã có sổ,Đất thổ cư,,149 m²,5 m,30 m
"4,10 tỷ","Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh","41,84 triệu/m²",,Đã có sổ,Đất thổ cư,,98 m²,5 m,20 m
565 triệu,"Đường Lê Thị Vui, Xã Phước Hiệp, Huyện Củ Chi, Tp Hồ Chí Minh","4,04 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",140 m²,8 m,18 m
"1,20 tỷ","Đường Huỳnh Minh Mương, Xã Tân Thạnh Đông, Huyện Củ Chi, Tp Hồ Chí Minh","9,02 triệu/m²",,Đã có sổ,Đất thổ cư,,133 m²,5 m,26 m
"1,30 tỷ","Đường Nguyễn Kim Cương, Xã Tân Thạnh Đông, Huyện Củ Chi, Tp Hồ Chí Minh","8,67 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",150 m²,5 m,30 m
"1,80 tỷ","Đường Nguyễn Thị Đặng, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",36 triệu/m²,,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",50 m²,5 m,10 m
"10,50 tỷ","7, Đường Trần Thị Giang, Xã Hưng Long, Huyện Bình Chánh, Tp Hồ Chí Minh","7,50 triệu/m²",Đông,Đã có sổ,Đất nông nghiệp,"Mặt tiền,Nở hậu,Chưa có thổ cư",1400 m²,28 m,50 m
"3,90 tỷ","Đường Lâm Thị Hố, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","66,10 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Nở hậu",59 m²,3.95 m,15 m
"726,60 triệu","Đường Tỉnh lộ 7, Xã Thái Mỹ, Huyện Củ Chi, Tp Hồ Chí Minh","3,91 triệu/m²",,Đã có sổ,Đất thổ cư,,186 m²,5 m,38 m
"15,80 tỷ",Cập nhật 9 ngày trước,"92,94 triệu/m²",,Đã có sổ,Đất thổ cư,,170 m²,,
"18,50 tỷ","số 9 hiệp bình phước, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","36,93 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",501 m²,21.5 m,23 m
2 tỷ,"Đường Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh",20 triệu/m²,,Đang chờ sổ,Đất nền dự án,,100 m²,5 m,20 m
"37,50 tỷ","Đường Trương Văn Bang, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","281,95 triệu/m²",,Đã có sổ,Đất nền dự án,"Mặt tiền,Hẻm xe hơi",133 m²,7 m,19 m
"1,50 tỷ",Cập nhật 9 ngày trước,"13,64 triệu/m²",,Đã có sổ,Đất thổ cư,,110 m²,,
21 tỷ,Cập nhật 9 ngày trước,5 triệu/m²,,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư 1 phần",4200 m²,,
"3,45 tỷ","Đường Vườn Lài, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","27,08 triệu/m²",Đông Bắc,Đã có sổ,Đất nông nghiệp,Hẻm xe hơi,127.4 m²,8 m,16 m
"1,10 tỷ",Cập nhật 9 ngày trước,"9,82 triệu/m²",,Đã có sổ,Đất thổ cư,,112 m²,,
11 tỷ,"đường 2, Phường Long Phước (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","33,87 triệu/m²",Đông Bắc,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",324.8 m²,18 m,18 m
"31,35 tỷ","Đường Số 52 - AP, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",165 triệu/m²,,Đã có sổ,Đất nền dự án,Mặt tiền,190 m²,10 m,19 m
"6,80 tỷ","Đường Phước Thiện, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",68 triệu/m²,Bắc,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",100 m²,5 m,20 m
20 tỷ,"Đường Đỗ Xuân Hợp, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","166,67 triệu/m²",Bắc,Đã có sổ,Đất thổ cư,,120 m²,6 m,20 m
"3,55 tỷ","Đường số 2, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","65,74 triệu/m²",Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",54 m²,4 m,14 m
"3,45 tỷ","Đường T15, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","66,35 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,Hẻm xe hơi,52 m²,5.5 m,9.7 m
"9,90 tỷ","tl49, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","49,50 triệu/m²",Tây Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",200 m²,5.65 m,35 m
82 tỷ,"Đường Quốc Hương, Phường Thảo Điền (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","224,66 triệu/m²",,Đã có sổ,Đất thổ cư,"Nở hậu,Mặt tiền,Thổ cư toàn bộ",365 m²,11 m,34.7 m
45 tỷ,"1010, Đường Quốc lộ 1a, Phường Linh Trung (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",45 triệu/m²,Đông Bắc,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư 1 phần",1000 m²,13 m,90 m
"37,50 tỷ","Đường Đình Phong Phú, Phường Tăng Nhơn Phú B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","28,85 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,1300 m²,33 m,35 m
"31,56 tỷ","Đường Thạnh Lộc 41, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","48,47 triệu/m²",Tây Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư 1 phần",651 m²,21 m,
"2,78 tỷ","TX51, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","36,77 triệu/m²",Tây Bắc,Đã có sổ,Đất thổ cư,"Thổ cư toàn bộ,Hẻm xe hơi",75.6 m²,4 m,18.5 m
"3,45 tỷ","TX38, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","57,50 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",60 m²,4.95 m,12 m
"6,50 tỷ","Hẻm 190 đường vườn lài , Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","77,75 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,Hẻm xe hơi,83.6 m²,5.22 m,16.015 m
20 tỷ,"Đường Thạnh Lộc 12, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","19,42 triệu/m²",,Đã có sổ,Đất nông nghiệp,"Nở hậu,Thổ cư 1 phần,Hẻm xe hơi",1030 m²,24 m,40 m
"9,30 tỷ",Đường Thạnh Lộc 40,"40,59 triệu/m²",Đông Bắc,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",229.1 m²,7.5 m,37.45 m
"4,95 tỷ","Hẻm 301 Đường Vườn Lài, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","53,11 triệu/m²",Tây,Đã có sổ,Đất thổ cư,Hẻm xe hơi,93.2 m²,5 m,18.64 m
2 tỷ,"Đường Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh",20 triệu/m²,,Đã có sổ,Đất nền dự án,,100 m²,5 m,20 m
750 triệu,"Đường Lưu Khai Hồng, Thị trấn Củ Chi, Huyện Củ Chi, Tp Hồ Chí Minh","3,75 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Hẻm xe hơi,Thổ cư toàn bộ",200 m²,10 m,20 m
4 tỷ,"Đường Kha Vạn Cân, Phường Linh Tây (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","72,73 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,55 m²,4 m,13.5 m
"6,25 tỷ","Đường Vườn Lài, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","78,13 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,Hẻm xe hơi,80 m²,4 m,20 m
"5,70 tỷ",Cập nhật 9 ngày trước,"68,26 triệu/m²",Tây Bắc,Đã có sổ,Đất thổ cư,Hẻm xe hơi,83.5 m²,,
"10,80 tỷ",Cập nhật 9 ngày trước,"23,13 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Nở hậu,Thổ cư 1 phần",467 m²,,
820 triệu,Cập nhật 9 ngày trước,"6,21 triệu/m²",,Đã có sổ,Đất thổ cư,,132 m²,,
"5,60 tỷ",Cập nhật 9 ngày trước,40 triệu/m²,,Đang chờ sổ,Đất thổ cư,,140 m²,,
610 triệu,"Đường Ấp 1 Chợ Sài Gòn, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh","2,90 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,210 m²,15.8 m,13 m
2 tỷ,"Đường Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh",20 triệu/m²,,Đã có sổ,Đất nền dự án,,100 m²,5 m,20 m
"4,40 tỷ",Cập nhật 9 ngày trước,"53,40 triệu/m²",Tây,Đã có sổ,Đất thổ cư,Hẻm xe hơi,82.4 m²,,
"10,50 tỷ","Đường Phạm Văn Cội, Xã Phạm Văn Cội, Huyện Củ Chi, Tp Hồ Chí Minh","9,05 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,Mặt tiền,1160 m²,20 m,56 m
"42,63 tỷ","Đường Đồng Văn Cống, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",203 triệu/m²,,Đã có sổ,Đất nền dự án,Mặt tiền,210 m²,10 m,21 m
"3,50 tỷ","Hẻm 425 đường vườn lài , Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","48,34 triệu/m²",Nam,Đã có sổ,Đất thổ cư,,72.4 m²,4.37 m,16.567 m
"5,30 tỷ","Đường số 10, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh","101,92 triệu/m²",Tây,Đã có sổ,Đất thổ cư,Mặt tiền,52 m²,4 m,13 m
"3,90 tỷ","Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",65 triệu/m²,Nam,Đã có sổ,Đất thổ cư,"Nở hậu,Hẻm xe hơi,Thổ cư toàn bộ",60 m²,4 m,15 m
"42,56 tỷ","Đường Trương Văn Bang, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",320 triệu/m²,,Đã có sổ,Đất nền dự án,,133 m²,7 m,19 m
"5,20 tỷ","496/, Đường Dương Quảng Hàm, Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh",130 triệu/m²,Đông Bắc,Đã có sổ,Đất thổ cư,"Nở hậu,Hẻm xe hơi,Thổ cư toàn bộ",40 m²,5.2 m,8 m
"4,40 tỷ","Hẻm 19 đường vườn lài , Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","51,83 triệu/m²",Nam,Đã có sổ,Đất thổ cư,Hẻm xe hơi,84.9 m²,4 m,21.225 m
"19,04 tỷ",", Hòa Bình, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",119 triệu/m²,,Đã có sổ,Đất nền dự án,"Mặt tiền,Thổ cư toàn bộ",160 m²,8 m,20 m
"7,95 tỷ","Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh","209,21 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,38 m²,3.3 m,12.25 m
