price,rooms,toilets,floors,house_type,furnishing_sell,size,district,province
1080000000.0,3,3,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,54.989816700611,Quận 6,Hồ Chí Minh
6850000000.0,4,4,4.0,Nhà phố liền kề,Nội thất cao cấp,56.00065402223676,Quận 12,Hồ Chí Minh
3700000000.0,3,2,2.0,"Nhà mặt phố, mặt tiền",,68.00220547693439,Quận Bình Tân,Hồ Chí Minh
7300000000.0,3,2,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,101.9980438731312,Quận Tân Phú,Hồ Chí Minh
4400000000.0,4,2,3.0,"Nhà ngõ, hẻm",,35.699797160243406,Quận 10,Hồ Chí Minh
7800000000.0,1,1,1.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,143.99113900683034,Quận Tân Phú,Hồ Chí Minh
7800000000.0,1,1,1.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,143.99113900683034,Quận Tân Phú,Hồ Chí Minh
5500000000.0,4,4,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,64.99645473883243,Quận 12,Hồ Chí Minh
1590000000.0,3,3,2.0,"Nhà ngõ, hẻm",,26.999490575649517,Huyện Nhà Bè,Hồ Chí Minh
12900000000.0,5,0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,66.00153491941673,Quận 10,Hồ Chí Minh
1250000000.0,2,2,1.0,"Nhà ngõ, hẻm",,24.001536098310293,Huyện Nhà Bè,Hồ Chí Minh
6600000000.0,4,4,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,49.00141064667013,Quận 6,Hồ Chí Minh
2360000000.0,3,3,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,10.0,Quận 10,Hồ Chí Minh
3250000000.0,4,5,3.0,Nhà phố liền kề,Nội thất đầy đủ,67.49740394600208,Quận Bình Thạnh,Hồ Chí Minh
8199999999.999999,4,4,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,129.99365884590995,Quận 7,Hồ Chí Minh
2700000000.0,1,1,0.0,"Nhà ngõ, hẻm",,16.0,Quận 1,Hồ Chí Minh
11800000000.0,4,4,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,78.00105764145954,Quận Tân Bình,Hồ Chí Minh
4950000000.0,2,3,3.0,"Nhà ngõ, hẻm",,28.99994141425977,Quận 4,Hồ Chí Minh
3490000000.0,2,3,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,40.0,Quận Gò Vấp,Hồ Chí Minh
4200000000.0,2,2,0.0,"Nhà ngõ, hẻm",,48.0,Quận Bình Tân,Hồ Chí Minh
5700000000.0,2,2,2.0,Nhà phố liền kề,,60.0,Quận Bình Tân,Hồ Chí Minh
2650000000.0,2,2,2.0,"Nhà ngõ, hẻm",,23.999275493570007,Quận Bình Thạnh,Hồ Chí Minh
