DistrictId,WardId,StreetId,Size,Type,FurnishingSell,Urgent,Price
20,260,2539,400.0,Mặt bằng kinh doanh,,0,350000000.0
2,13,145,300.0,Mặt bằng kinh doanh,,0,1100000000.0
23,302,2703,300.0,Mặt bằng kinh doanh,,0,120000000.0
16,206,1976,200.0,Mặt bằng kinh doanh,,0,480000000.0
19,246,2404,72.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,8400000000.0
13,155,1378,93.7,Mặt bằng kinh doanh,Nội thất đầy đủ,0,18000000000.0
1,10,113,137.0,Văn phòng,,0,42000000000.0
13,155,1374,142.0,Mặt bằng kinh doanh,,0,19500000000.0
13,155,1377,136.0,Mặt bằng kinh doanh,,0,19000000000.0
13,156,1410,84.0,Mặt bằng kinh doanh,,0,12500000000.0
9,108,970,92.0,Mặt bằng kinh doanh,,0,9800000000.0
13,157,1428,255.0,Mặt bằng kinh doanh,,0,24500000000.0
13,156,1412,133.4,Mặt bằng kinh doanh,Nội thất đầy đủ,0,20000000000.0
2,14,159,249.0,Mặt bằng kinh doanh,,0,34000000000.0
19,240,2302,128.0,Mặt bằng kinh doanh,,0,22000000000.0
10,126,1122,300.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,1600000000.0
23,296,2670,200.0,Mặt bằng kinh doanh,,0,15900000000.0
14,166,1541,180.0,Officetel,Nội thất cao cấp,0,8500000000.0
9,110,988,100.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,12500000000.0
8,88,814,151.8,Shophouse,Hoàn thiện cơ bản,0,1200000000.0
17,213,2034,110.0,Mặt bằng kinh doanh,,0,36000000000.0
3,31,324,81.0,Mặt bằng kinh doanh,,0,27500000000.0
3,30,322,50.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,40000000.0
16,199,1898,240.0,Mặt bằng kinh doanh,,1,1250000000.0
12,147,1273,100.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,7590000000.0
15,190,1839,70.0,Shophouse,,0,10800000000.0
15,184,1807,79.0,Mặt bằng kinh doanh,,0,14500000000.0
15,193,1864,150.0,Mặt bằng kinh doanh,,0,700000000.0
15,183,1800,20.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,4000000.0
9,100,893,164.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,10000000000.0
12,153,1347,160.0,Mặt bằng kinh doanh,,1,26000000000.0
9,105,926,160.0,Mặt bằng kinh doanh,,0,23000000000.0
19,241,2309,300.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,600000000.0
9,100,893,70.0,Shophouse,,0,10000000000.0
18,238,2258,70.0,Mặt bằng kinh doanh,,0,220000000.0
6,62,497,80.0,Mặt bằng kinh doanh,,0,14000000000.0
12,152,1337,60.0,Mặt bằng kinh doanh,,0,5290000000.0
19,248,2424,81.2,Mặt bằng kinh doanh,Nội thất đầy đủ,0,14000000.0
15,190,1841,91.0,Mặt bằng kinh doanh,,0,17650000000.0
6,71,560,81.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,12500000000.0
12,152,1337,85.0,Mặt bằng kinh doanh,,0,6500000000.0
3,20,297,117.0,Mặt bằng kinh doanh,,0,35000000000.0
1,10,113,110.0,Mặt bằng kinh doanh,,0,42000000000.0
9,111,1004,264.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,17800000000.0
14,171,1661,400.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,400000000.0
8,89,832,146.0,Shophouse,Hoàn thiện cơ bản,0,5800000000.0
14,172,1671,192.0,Mặt bằng kinh doanh,,0,33000000000.0
14,168,1570,76.5,Mặt bằng kinh doanh,,0,5400000000.0
16,205,1967,150.0,Mặt bằng kinh doanh,Nội thất cao cấp,0,250000000.0
24,312,2756,240.0,Shophouse,Hoàn thiện cơ bản,0,5600000000.0
14,170,1647,180.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,120000000.0
14,167,1559,210.0,Mặt bằng kinh doanh,,0,16000000000.0
8,88,814,151.0,Shophouse,Hoàn thiện cơ bản,1,5200000000.0
